"","species","plot","endo_01","id","original","endo_status_from_check","birth","year_t","age","size_t","flw_count_t","mean_spike_t","year_t1","surv_t1","size_t1","flw_count_t1","mean_spike_t1"
"30","AGPE",111,1,"2209",1,1,2007,2008,NA,11,5,NA,2009,1,21,13,NA
"31","AGPE",111,1,"2209",1,1,2007,2009,NA,21,13,NA,2010,1,31,0,NA
"32","AGPE",111,1,"2209",1,1,2007,2010,NA,31,0,NA,2011,1,6,0,NA
"33","AGPE",111,1,"2209",1,1,2007,2011,NA,6,0,NA,2012,1,24,2,NA
"34","AGPE",111,1,"2209",1,1,2007,2012,NA,24,2,NA,2013,1,28,13,NA
"35","AGPE",111,1,"2209",1,1,2007,2013,NA,28,13,NA,2014,1,54,12,NA
"36","AGPE",111,1,"2209",1,1,2007,2014,NA,54,12,NA,2015,1,13,6,NA
"37","AGPE",111,1,"2209",1,1,2007,2015,NA,13,6,NA,2016,0,NA,NA,NA
"38","AGPE",111,1,"2210",1,NA,2007,2007,NA,3,0,NA,2008,1,10,0,NA
"39","AGPE",111,1,"2210",1,NA,2007,2008,NA,10,0,NA,2009,0,NA,NA,NA
"40","AGPE",111,1,"2211",1,1,2007,2007,NA,3,0,NA,2008,1,14,1,NA
"41","AGPE",111,1,"2211",1,1,2007,2008,NA,14,1,NA,2009,1,17,15,NA
"42","AGPE",111,1,"2211",1,1,2007,2009,NA,17,15,NA,2010,1,20,0,NA
"43","AGPE",111,1,"2211",1,1,2007,2010,NA,20,0,NA,2011,0,NA,NA,NA
"44","AGPE",111,1,"2212",1,1,2007,2007,NA,3,0,NA,2008,1,11,1,NA
"45","AGPE",111,1,"2212",1,1,2007,2008,NA,11,1,NA,2009,1,20,20,NA
"46","AGPE",111,1,"2212",1,1,2007,2009,NA,20,20,NA,2010,1,38,0,NA
"47","AGPE",111,1,"2212",1,1,2007,2010,NA,38,0,NA,2011,0,NA,NA,NA
"48","AGPE",111,1,"2213",1,1,2007,2007,NA,3,0,NA,2008,1,7,0,NA
"49","AGPE",111,1,"2213",1,1,2007,2008,NA,7,0,NA,2009,1,14,14,NA
"50","AGPE",111,1,"2213",1,1,2007,2009,NA,14,14,NA,2010,1,26,0,NA
"51","AGPE",111,1,"2213",1,1,2007,2010,NA,26,0,NA,2011,1,2,0,NA
"52","AGPE",111,1,"2213",1,1,2007,2011,NA,2,0,NA,2012,0,NA,NA,NA
"53","AGPE",111,1,"2214",1,1,2007,2007,NA,3,0,NA,2008,1,10,1,NA
"54","AGPE",111,1,"2214",1,1,2007,2008,NA,10,1,NA,2009,1,14,14,NA
"55","AGPE",111,1,"2214",1,1,2007,2009,NA,14,14,NA,2010,1,34,0,NA
"56","AGPE",111,1,"2214",1,1,2007,2010,NA,34,0,NA,2011,0,NA,NA,NA
"57","AGPE",111,1,"2215",1,1,2007,2007,NA,3,0,NA,2008,1,7,1,NA
"58","AGPE",111,1,"2215",1,1,2007,2008,NA,7,1,NA,2009,1,3,1,NA
"59","AGPE",111,1,"2215",1,1,2007,2009,NA,3,1,NA,2010,1,6,0,NA
"60","AGPE",111,1,"2215",1,1,2007,2010,NA,6,0,NA,2011,0,NA,NA,NA
"61","AGPE",111,1,"2216",1,1,2007,2007,NA,3,0,NA,2008,1,14,3,NA
"62","AGPE",111,1,"2216",1,1,2007,2008,NA,14,3,NA,2009,1,15,15,NA
"63","AGPE",111,1,"2216",1,1,2007,2009,NA,15,15,NA,2010,1,29,0,NA
"64","AGPE",111,1,"2216",1,1,2007,2010,NA,29,0,NA,2011,0,NA,NA,NA
"65","AGPE",111,1,"2217",1,1,2007,2007,NA,3,0,NA,2008,1,14,7,NA
"66","AGPE",111,1,"2217",1,1,2007,2008,NA,14,7,NA,2009,1,14,12,NA
"67","AGPE",111,1,"2217",1,1,2007,2009,NA,14,12,NA,2010,1,5,0,NA
"68","AGPE",111,1,"2217",1,1,2007,2010,NA,5,0,NA,2011,0,NA,NA,NA
"69","AGPE",111,1,"2218",1,1,2007,2007,NA,3,0,NA,2008,1,9,0,NA
"70","AGPE",111,1,"2218",1,1,2007,2008,NA,9,0,NA,2009,1,23,21,NA
"71","AGPE",111,1,"2218",1,1,2007,2009,NA,23,21,NA,2010,1,36,0,NA
"72","AGPE",111,1,"2218",1,1,2007,2010,NA,36,0,NA,2011,0,NA,NA,NA
"73","AGPE",111,1,"2219",1,NA,2007,2007,NA,3,0,NA,2008,1,8,0,NA
"74","AGPE",111,1,"2219",1,NA,2007,2008,NA,8,0,NA,2009,0,NA,NA,NA
"75","AGPE",111,1,"2220",1,NA,2007,2007,NA,3,0,NA,2008,1,10,0,NA
"76","AGPE",111,1,"2220",1,NA,2007,2008,NA,10,0,NA,2009,1,19,16,NA
"77","AGPE",111,1,"2220",1,NA,2007,2009,NA,19,16,NA,2010,1,23,0,NA
"78","AGPE",111,1,"2220",1,NA,2007,2010,NA,23,0,NA,2011,0,NA,NA,NA
"79","AGPE",111,1,"111_1",0,NA,2009,2009,0,1,0,NA,2010,0,NA,NA,NA
"80","AGPE",111,1,"111_10",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA
"81","AGPE",111,1,"111_100",0,NA,2012,2012,0,2,0,NA,2013,1,4,2,NA
"82","AGPE",111,1,"111_100",0,NA,2012,2013,1,4,2,NA,2014,0,NA,NA,NA
"83","AGPE",111,1,"111_101",0,1,2012,2012,0,4,0,NA,2013,1,8,3,NA
"84","AGPE",111,1,"111_101",0,1,2012,2013,1,8,3,NA,2014,1,8,3,NA
"85","AGPE",111,1,"111_101",0,1,2012,2014,2,8,3,NA,2015,0,NA,NA,NA
"86","AGPE",111,1,"111_102",0,1,2012,2012,0,6,0,NA,2013,1,13,4,NA
"87","AGPE",111,1,"111_102",0,1,2012,2013,1,13,4,NA,2014,1,24,9,NA
"88","AGPE",111,1,"111_102",0,1,2012,2014,2,24,9,NA,2015,1,12,7,80.5
"89","AGPE",111,1,"111_102",0,1,2012,2015,3,12,7,80.5,2016,1,2,1,33
"90","AGPE",111,1,"111_102",0,1,2012,2016,4,2,1,33,2017,0,NA,NA,NA
"91","AGPE",111,1,"111_103",0,NA,2012,2012,0,2,0,NA,2013,1,1,0,NA
"92","AGPE",111,1,"111_103",0,NA,2012,2013,1,1,0,NA,2014,1,4,1,NA
"93","AGPE",111,1,"111_103",0,NA,2012,2014,2,4,1,NA,2015,0,NA,NA,NA
"94","AGPE",111,1,"111_104",0,NA,2012,2012,0,2,0,NA,2013,1,2,0,NA
"95","AGPE",111,1,"111_104",0,NA,2012,2013,1,2,0,NA,2014,1,3,1,NA
"96","AGPE",111,1,"111_104",0,NA,2012,2014,2,3,1,NA,2015,0,NA,NA,NA
"97","AGPE",111,1,"111_105",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"98","AGPE",111,1,"111_106",0,NA,2012,2012,0,2,0,NA,2013,1,3,0,NA
"99","AGPE",111,1,"111_106",0,NA,2012,2013,1,3,0,NA,2014,1,3,1,NA
"100","AGPE",111,1,"111_106",0,NA,2012,2014,2,3,1,NA,2015,0,NA,NA,NA
"101","AGPE",111,1,"111_107",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"102","AGPE",111,1,"111_108",0,NA,2012,2012,0,1,0,NA,2013,1,2,0,NA
"103","AGPE",111,1,"111_108",0,NA,2012,2013,1,2,0,NA,2014,1,11,2,NA
"104","AGPE",111,1,"111_108",0,NA,2012,2014,2,11,2,NA,2015,1,9,5,55.5
"105","AGPE",111,1,"111_108",0,NA,2012,2015,3,9,5,55.5,2016,1,3,0,NA
"106","AGPE",111,1,"111_108",0,NA,2012,2016,4,3,0,NA,2017,1,7,2,41.5
"107","AGPE",111,1,"111_109",0,1,2012,2012,0,4,0,NA,2013,1,7,2,NA
"108","AGPE",111,1,"111_109",0,1,2012,2013,1,7,2,NA,2014,1,10,3,NA
"109","AGPE",111,1,"111_109",0,1,2012,2014,2,10,3,NA,2015,0,NA,NA,NA
"110","AGPE",111,1,"111_109",0,1,2017,2016,-1,NA,NA,NA,2017,1,1,0,NA
"111","AGPE",111,1,"111_11",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA
"112","AGPE",111,1,"111_110",0,NA,2012,2012,0,2,0,NA,2013,0,NA,NA,NA
"113","AGPE",111,1,"111_111",0,NA,2012,2012,0,3,0,NA,2013,1,3,1,NA
"114","AGPE",111,1,"111_111",0,NA,2012,2013,1,3,1,NA,2014,1,2,1,NA
"115","AGPE",111,1,"111_111",0,NA,2012,2014,2,2,1,NA,2015,1,3,2,41.5
"116","AGPE",111,1,"111_111",0,NA,2012,2015,3,3,2,41.5,2016,0,NA,NA,NA
"117","AGPE",111,1,"111_112",0,NA,2012,2012,0,2,0,NA,2013,0,NA,NA,NA
"118","AGPE",111,1,"111_113",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"119","AGPE",111,1,"111_114",0,NA,2012,2012,0,1,0,NA,2013,1,1,0,NA
"120","AGPE",111,1,"111_114",0,NA,2012,2013,1,1,0,NA,2014,0,NA,NA,NA
"121","AGPE",111,1,"111_115",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"122","AGPE",111,1,"111_116",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"123","AGPE",111,1,"111_117",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"124","AGPE",111,1,"111_118",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"125","AGPE",111,1,"111_119",0,NA,2012,2012,0,1,0,NA,2013,1,3,1,NA
"126","AGPE",111,1,"111_119",0,NA,2012,2013,1,3,1,NA,2014,1,4,1,NA
"127","AGPE",111,1,"111_119",0,NA,2012,2014,2,4,1,NA,2015,1,3,0,NA
"128","AGPE",111,1,"111_119",0,NA,2012,2015,3,3,0,NA,2016,0,NA,NA,NA
"129","AGPE",111,1,"111_12",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA
"130","AGPE",111,1,"111_120",0,NA,2012,2012,0,1,0,NA,2013,1,4,0,NA
"131","AGPE",111,1,"111_120",0,NA,2012,2013,1,4,0,NA,2014,1,11,1,NA
"132","AGPE",111,1,"111_120",0,NA,2012,2014,2,11,1,NA,2015,1,7,2,25.5
"133","AGPE",111,1,"111_120",0,NA,2012,2015,3,7,2,25.5,2016,0,NA,NA,NA
"134","AGPE",111,1,"111_121",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"135","AGPE",111,1,"111_122",0,NA,2012,2012,0,1,0,NA,2013,1,1,0,NA
"136","AGPE",111,1,"111_122",0,NA,2012,2013,1,1,0,NA,2014,1,3,1,NA
"137","AGPE",111,1,"111_122",0,NA,2012,2014,2,3,1,NA,2015,1,2,1,12
"138","AGPE",111,1,"111_122",0,NA,2012,2015,3,2,1,12,2016,0,NA,NA,NA
"139","AGPE",111,1,"111_123",0,1,2012,2012,0,1,0,NA,2013,1,6,1,NA
"140","AGPE",111,1,"111_123",0,1,2012,2013,1,6,1,NA,2014,1,9,2,NA
"141","AGPE",111,1,"111_123",0,1,2012,2014,2,9,2,NA,2015,1,8,2,51
"142","AGPE",111,1,"111_123",0,1,2012,2015,3,8,2,51,2016,1,4,1,109
"143","AGPE",111,1,"111_123",0,1,2012,2016,4,4,1,109,2017,1,3,1,67
"144","AGPE",111,1,"111_124",0,1,2012,2012,0,1,0,NA,2013,1,7,2,NA
"145","AGPE",111,1,"111_124",0,1,2012,2013,1,7,2,NA,2014,1,14,6,NA
"146","AGPE",111,1,"111_124",0,1,2012,2014,2,14,6,NA,2015,1,5,2,22.5
"147","AGPE",111,1,"111_124",0,1,2012,2015,3,5,2,22.5,2016,0,NA,NA,NA
"148","AGPE",111,1,"111_125",0,NA,2012,2012,0,1,0,NA,2013,1,1,0,NA
"149","AGPE",111,1,"111_125",0,NA,2012,2013,1,1,0,NA,2014,0,NA,NA,NA
"150","AGPE",111,1,"111_126",0,NA,2012,2012,0,1,0,NA,2013,1,2,0,NA
"151","AGPE",111,1,"111_126",0,NA,2012,2013,1,2,0,NA,2014,0,NA,NA,NA
"152","AGPE",111,1,"111_127",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"153","AGPE",111,1,"111_128",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"154","AGPE",111,1,"111_129",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"155","AGPE",111,1,"111_13",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA
"156","AGPE",111,1,"111_130",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"157","AGPE",111,1,"111_131",0,1,2012,2012,0,1,0,NA,2013,1,3,1,NA
"158","AGPE",111,1,"111_131",0,1,2012,2013,1,3,1,NA,2014,1,4,1,NA
"159","AGPE",111,1,"111_131",0,1,2012,2014,2,4,1,NA,2015,0,NA,NA,NA
"160","AGPE",111,1,"111_132",0,NA,2012,2012,0,1,0,NA,2013,1,2,0,NA
"161","AGPE",111,1,"111_132",0,NA,2012,2013,1,2,0,NA,2014,1,3,1,NA
"162","AGPE",111,1,"111_132",0,NA,2012,2014,2,3,1,NA,2015,1,5,2,66.5
"163","AGPE",111,1,"111_132",0,NA,2012,2015,3,5,2,66.5,2016,0,NA,NA,NA
"164","AGPE",111,1,"111_133",0,NA,2012,2012,0,1,0,NA,2013,1,1,0,NA
"165","AGPE",111,1,"111_133",0,NA,2012,2013,1,1,0,NA,2014,1,3,0,NA
"166","AGPE",111,1,"111_133",0,NA,2012,2014,2,3,0,NA,2015,1,2,0,NA
"167","AGPE",111,1,"111_133",0,NA,2012,2015,3,2,0,NA,2016,0,NA,NA,NA
"168","AGPE",111,1,"111_134",0,NA,2012,2012,0,1,0,NA,2013,1,4,0,NA
"169","AGPE",111,1,"111_134",0,NA,2012,2013,1,4,0,NA,2014,1,6,1,NA
"170","AGPE",111,1,"111_134",0,NA,2012,2014,2,6,1,NA,2015,1,2,1,22
"171","AGPE",111,1,"111_134",0,NA,2012,2015,3,2,1,22,2016,0,NA,NA,NA
"172","AGPE",111,1,"111_135",0,NA,2012,2012,0,1,0,NA,2013,1,3,0,NA
"173","AGPE",111,1,"111_135",0,NA,2012,2013,1,3,0,NA,2014,1,7,2,NA
"174","AGPE",111,1,"111_135",0,NA,2012,2014,2,7,2,NA,2015,0,NA,NA,NA
"175","AGPE",111,1,"111_136",0,NA,2012,2012,0,1,0,NA,2013,1,2,0,NA
"176","AGPE",111,1,"111_136",0,NA,2012,2013,1,2,0,NA,2014,1,3,1,NA
"177","AGPE",111,1,"111_136",0,NA,2012,2014,2,3,1,NA,2015,0,NA,NA,NA
"178","AGPE",111,1,"111_137",0,1,2012,2012,0,3,0,NA,2013,1,5,2,NA
"179","AGPE",111,1,"111_137",0,1,2012,2013,1,5,2,NA,2014,1,14,6,NA
"180","AGPE",111,1,"111_137",0,1,2012,2014,2,14,6,NA,2015,1,2,0,NA
"181","AGPE",111,1,"111_137",0,1,2012,2015,3,2,0,NA,2016,0,NA,NA,NA
"182","AGPE",111,1,"111_138",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"183","AGPE",111,1,"111_139",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"184","AGPE",111,1,"111_14",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA
"185","AGPE",111,1,"111_140",0,1,2012,2012,0,3,0,NA,2013,1,5,2,NA
"186","AGPE",111,1,"111_140",0,1,2012,2013,1,5,2,NA,2014,1,14,5,NA
"187","AGPE",111,1,"111_140",0,1,2012,2014,2,14,5,NA,2015,1,1,0,NA
"188","AGPE",111,1,"111_140",0,1,2012,2015,3,1,0,NA,2016,0,NA,NA,NA
"189","AGPE",111,1,"111_141",0,NA,2012,2012,0,1,0,NA,2013,1,4,1,NA
"190","AGPE",111,1,"111_141",0,NA,2012,2013,1,4,1,NA,2014,1,4,2,NA
"191","AGPE",111,1,"111_141",0,NA,2012,2014,2,4,2,NA,2015,0,NA,NA,NA
"192","AGPE",111,1,"111_142",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"193","AGPE",111,1,"111_143",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"194","AGPE",111,1,"111_144",0,NA,2012,2012,0,1,0,NA,2013,1,3,1,NA
"195","AGPE",111,1,"111_144",0,NA,2012,2013,1,3,1,NA,2014,1,3,2,NA
"196","AGPE",111,1,"111_144",0,NA,2012,2014,2,3,2,NA,2015,1,4,0,NA
"197","AGPE",111,1,"111_144",0,NA,2012,2015,3,4,0,NA,2016,0,NA,NA,NA
"198","AGPE",111,1,"111_145",0,NA,2012,2012,0,2,0,NA,2013,0,NA,NA,NA
"199","AGPE",111,1,"111_146",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"200","AGPE",111,1,"111_147",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"201","AGPE",111,1,"111_148",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"202","AGPE",111,1,"111_149",0,NA,2012,2012,0,1,0,NA,2013,1,5,0,NA
"203","AGPE",111,1,"111_149",0,NA,2012,2013,1,5,0,NA,2014,1,9,4,NA
"204","AGPE",111,1,"111_149",0,NA,2012,2014,2,9,4,NA,2015,1,5,3,98
"205","AGPE",111,1,"111_149",0,NA,2012,2015,3,5,3,98,2016,0,NA,NA,NA
"206","AGPE",111,1,"111_15",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA
"207","AGPE",111,1,"111_150",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"208","AGPE",111,1,"111_151",0,NA,2012,2012,0,1,0,NA,2013,1,3,1,NA
"209","AGPE",111,1,"111_151",0,NA,2012,2013,1,3,1,NA,2014,0,NA,NA,NA
"210","AGPE",111,1,"111_152",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"211","AGPE",111,1,"111_153",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"212","AGPE",111,1,"111_154",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"213","AGPE",111,1,"111_155",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"214","AGPE",111,1,"111_156",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"215","AGPE",111,1,"111_157",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"216","AGPE",111,1,"111_158",0,NA,2012,2012,0,2,0,NA,2013,0,NA,NA,NA
"217","AGPE",111,1,"111_159",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"218","AGPE",111,1,"111_16",0,1,2011,2011,0,1,0,NA,2012,1,8,1,51
"219","AGPE",111,1,"111_16",0,1,2011,2012,1,8,1,51,2013,1,14,5,NA
"220","AGPE",111,1,"111_16",0,1,2011,2013,2,14,5,NA,2014,1,33,23,NA
"221","AGPE",111,1,"111_16",0,1,2011,2014,3,33,23,NA,2015,1,33,14,136.5
"222","AGPE",111,1,"111_16",0,1,2011,2015,4,33,14,136.5,2016,0,NA,NA,NA
"223","AGPE",111,1,"111_160",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"224","AGPE",111,1,"111_161",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"225","AGPE",111,1,"111_162",0,NA,2012,2012,0,2,0,NA,2013,0,NA,NA,NA
"226","AGPE",111,1,"111_163",0,NA,2012,2012,0,1,0,NA,2013,0,NA,NA,NA
"227","AGPE",111,1,"111_164",0,NA,2013,2013,0,1,0,NA,2014,1,12,4,NA
"228","AGPE",111,1,"111_164",0,NA,2013,2014,1,12,4,NA,2015,1,19,8,119
"229","AGPE",111,1,"111_164",0,NA,2013,2015,2,19,8,119,2016,0,NA,NA,NA
"230","AGPE",111,1,"111_165",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"231","AGPE",111,1,"111_166",0,NA,2013,2013,0,1,0,NA,2014,1,3,1,NA
"232","AGPE",111,1,"111_166",0,NA,2013,2014,1,3,1,NA,2015,1,7,1,33
"233","AGPE",111,1,"111_166",0,NA,2013,2015,2,7,1,33,2016,0,NA,NA,NA
"234","AGPE",111,1,"111_167",0,NA,2013,2013,0,1,0,NA,2014,1,1,0,NA
"235","AGPE",111,1,"111_167",0,NA,2013,2014,1,1,0,NA,2015,0,NA,NA,NA
"236","AGPE",111,1,"111_168",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"237","AGPE",111,1,"111_169",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"238","AGPE",111,1,"111_17",0,NA,2011,2011,0,1,0,NA,2012,0,NA,NA,NA
"239","AGPE",111,1,"111_170",0,NA,2013,2013,0,1,0,NA,2014,1,9,3,NA
"240","AGPE",111,1,"111_170",0,NA,2013,2014,1,9,3,NA,2015,1,2,0,NA
"241","AGPE",111,1,"111_170",0,NA,2013,2015,2,2,0,NA,2016,0,NA,NA,NA
"242","AGPE",111,1,"111_171",0,NA,2013,2013,0,1,0,NA,2014,1,3,1,NA
"243","AGPE",111,1,"111_171",0,NA,2013,2014,1,3,1,NA,2015,1,5,1,35
"244","AGPE",111,1,"111_171",0,NA,2013,2015,2,5,1,35,2016,0,NA,NA,NA
"245","AGPE",111,1,"111_172",0,NA,2013,2013,0,1,0,NA,2014,1,3,1,NA
"246","AGPE",111,1,"111_172",0,NA,2013,2014,1,3,1,NA,2015,1,4,0,NA
"247","AGPE",111,1,"111_172",0,NA,2013,2015,2,4,0,NA,2016,0,NA,NA,NA
"248","AGPE",111,1,"111_173",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"249","AGPE",111,1,"111_174",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"250","AGPE",111,1,"111_175",0,NA,2013,2013,0,1,0,NA,2014,1,3,0,NA
"251","AGPE",111,1,"111_175",0,NA,2013,2014,1,3,0,NA,2015,0,NA,NA,NA
"252","AGPE",111,1,"111_176",0,NA,2013,2013,0,1,0,NA,2014,1,1,0,NA
"253","AGPE",111,1,"111_176",0,NA,2013,2014,1,1,0,NA,2015,1,2,0,NA
"254","AGPE",111,1,"111_176",0,NA,2013,2015,2,2,0,NA,2016,0,NA,NA,NA
"255","AGPE",111,1,"111_177",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"256","AGPE",111,1,"111_178",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"257","AGPE",111,1,"111_179",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"258","AGPE",111,1,"111_18",0,NA,2011,2011,0,1,0,NA,2012,1,3,0,NA
"259","AGPE",111,1,"111_18",0,NA,2011,2012,1,3,0,NA,2013,1,5,1,NA
"260","AGPE",111,1,"111_18",0,NA,2011,2013,2,5,1,NA,2014,1,9,3,NA
"261","AGPE",111,1,"111_18",0,NA,2011,2014,3,9,3,NA,2015,1,7,2,33
"262","AGPE",111,1,"111_18",0,NA,2011,2015,4,7,2,33,2016,0,NA,NA,NA
"263","AGPE",111,1,"111_180",0,NA,2013,2013,0,1,0,NA,2014,1,3,0,NA
"264","AGPE",111,1,"111_180",0,NA,2013,2014,1,3,0,NA,2015,1,1,0,NA
"265","AGPE",111,1,"111_180",0,NA,2013,2015,2,1,0,NA,2016,0,NA,NA,NA
"266","AGPE",111,1,"111_181",0,NA,2013,2013,0,1,0,NA,2014,1,1,0,NA
"267","AGPE",111,1,"111_181",0,NA,2013,2014,1,1,0,NA,2015,0,NA,NA,NA
"268","AGPE",111,1,"111_182",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"269","AGPE",111,1,"111_183",0,NA,2013,2013,0,1,0,NA,2014,0,NA,NA,NA
"270","AGPE",111,1,"111_184",0,NA,2013,2013,0,1,0,NA,2014,1,13,4,NA
"271","AGPE",111,1,"111_184",0,NA,2013,2014,1,13,4,NA,2015,1,2,0,NA
"272","AGPE",111,1,"111_184",0,NA,2013,2015,2,2,0,NA,2016,0,NA,NA,NA
"273","AGPE",111,1,"111_185",0,NA,2013,2013,0,1,0,NA,2014,1,5,1,NA
"274","AGPE",111,1,"111_185",0,NA,2013,2014,1,5,1,NA,2015,0,NA,NA,NA
"275","AGPE",111,1,"111_186",0,NA,2013,2013,0,1,0,NA,2014,1,6,1,NA
"276","AGPE",111,1,"111_186",0,NA,2013,2014,1,6,1,NA,2015,1,2,1,19
"277","AGPE",111,1,"111_186",0,NA,2013,2015,2,2,1,19,2016,0,NA,NA,NA
"278","AGPE",111,1,"111_187",0,NA,2013,2013,0,1,0,NA,2014,1,1,0,NA
"279","AGPE",111,1,"111_187",0,NA,2013,2014,1,1,0,NA,2015,1,4,1,49
